language,sentence
English,Eggplants always grow best under warm conditions.
Luganda,Bbiringanya lubeerera  asinga kukulira mu mbeera ya bugumu
Runyankole,Entonga buriijo zikurira omu mbeera y'obwire erikutagata
Ateso,Epoloi ebirinyanyi ojok apakio nu emwanar akwap.
Lugbara,Birinyanya eyi zo kililiru ndeni angu driza ma alia.
Acholi,Bilinyanya pol kare dongo maber ka lyeto tye
English,Farmland is sometimes a challenge to farmers.
Luganda,Ettaka ly'okulimirako n'okulundirako ebiseera ebimu kisoomooza abalimi
Runyankole,"Eitaka ry'okuhingamu, obumwe n'obumwe nirireetera abahingi oburemeezi."
Ateso,Akiro nu alupok nes erai ationis kanejaas akoriok
Lugbara,Amvu ma angu eri sa'wa azini 'diyisi 'ba amvu 'yapi 'diyi dri ewaru.
Acholi,Ngom me pur i kare mukene obedo peko madit bot lupur
English,Farmers should be encouraged to grow more coffee.
Luganda,Abalimi balina okukubirizibwa okwongera okulima emmwanyi
Runyankole,Abahingi bashemereire kuhigwa bongyere okuhinga omwani .
Ateso,Ekot aisinyikokit akoriok akoru emwanyi loepol
Lugbara,Le 'ba ma fe 'ba amvu 'yapi 'diyini ava kawa 'yazu drile.
Acholi,Lupur omyero ki konygi wek nong miti me puru mwanyi
English,Uganda is focusing on farming.
Luganda,Uganda essira eritadde ku bulimi.
Runyankole,Uganda eteire amaani aha buhingi n'oburiisa.
Ateso,Uganda nes ejai akiro nu akoru.
Lugbara,Kari Uganda niri eri asi'baza be amvu 'yaza ma dria.
Acholi,Uganda tye ka keme ki lok me pur
English,Some plants die due to lack of sunlight.
Luganda,Ebimera ebimu bifa olw'ebbula ly'omusana.
Runyankole,Ebihingwa ebimwe nibyoma ahabw'okubura omushana.
Ateso,Icie ikorion etwakete naarai emamei akolong.
Lugbara,Ori azi 'diyi odra te ituka ma akosi.
Acholi,jami apita mukene too woko pien pe ginongo ceng muromo
English,Where can we get good resistant varieties that are highly marketable?
Luganda,Tusobola kuggya wa ebika ebirungi ebigumira embeera yonna bya ttunzi nnyo?
